"gene","celltype","sample","mean_logexpr","pct_expr"
"Abcb1a","Choroid plexus","Sample2",0,0
"Abcg2","Choroid plexus","Sample2",0.0927,0.0741
"Slco1a4","Choroid plexus","Sample2",1.2241,0.6296
"Vcam1","Choroid plexus","Sample2",0.3954,0.2963
"Icam1","Choroid plexus","Sample2",0,0
"Vwf","Choroid plexus","Sample2",0,0
"Angpt2","Choroid plexus","Sample2",0,0
"Pdgfrb","Choroid plexus","Sample2",0,0
"Rgs5","Choroid plexus","Sample2",0,0
"Kcnj8","Choroid plexus","Sample2",0,0
"Anpep","Choroid plexus","Sample2",0,0
"Vtn","Choroid plexus","Sample2",0,0
"Notch3","Choroid plexus","Sample2",0.05,0.037
"Aqp4","Choroid plexus","Sample2",0,0
"Gja1","Choroid plexus","Sample2",0,0
"Cldn5","Endothelial","Sample2",0.523,0.2151
"Ocln","Endothelial","Sample2",0.712,0.3226
"Tjp1","Endothelial","Sample2",2.8967,0.9247
"Jam2","Endothelial","Sample2",0.6436,0.3011
"Cgn","Endothelial","Sample2",0,0
"Esam","Endothelial","Sample2",0.7955,0.3441
"Mfsd2a","Endothelial","Sample2",0.1564,0.0645
"Plvap","Endothelial","Sample2",0,0
"Cav1","Endothelial","Sample2",0.4453,0.2043
"Slc2a1","Endothelial","Sample2",1.6103,0.6237
"Abcb1a","Endothelial","Sample2",2.1843,0.7634
"Abcg2","Endothelial","Sample2",1.8215,0.6989
"Slco1a4","Endothelial","Sample2",3.4742,0.9247
"Vcam1","Endothelial","Sample2",0.3739,0.1613
"Icam1","Endothelial","Sample2",0.0484,0.0215
"Vwf","Endothelial","Sample2",1.0087,0.3871
"Angpt2","Endothelial","Sample2",0.0219,0.0108
"Pdgfrb","Endothelial","Sample2",0.1497,0.0645
"Rgs5","Endothelial","Sample2",0.6401,0.1935
"Kcnj8","Endothelial","Sample2",0,0
"Anpep","Endothelial","Sample2",0.0442,0.0215
"Vtn","Endothelial","Sample2",0.1656,0.0645
"Notch3","Endothelial","Sample2",0.099,0.0538
"Aqp4","Endothelial","Sample2",0.1008,0.043
"Gja1","Endothelial","Sample2",0.0583,0.0323
"Cldn5","Ependymal","Sample2",0,0
"Ocln","Ependymal","Sample2",0.5535,0.2727
"Tjp1","Ependymal","Sample2",0.5223,0.3636
"Jam2","Ependymal","Sample2",0.163,0.0909
"Cgn","Ependymal","Sample2",0,0
"Esam","Ependymal","Sample2",0,0
"Mfsd2a","Ependymal","Sample2",0,0
"Plvap","Ependymal","Sample2",0,0
"Cav1","Ependymal","Sample2",0,0
"Slc2a1","Ependymal","Sample2",0.3326,0.1818
"Abcb1a","Ependymal","Sample2",0,0
"Abcg2","Ependymal","Sample2",0,0
"Slco1a4","Ependymal","Sample2",0,0
"Vcam1","Ependymal","Sample2",0,0
"Icam1","Ependymal","Sample2",0,0
"Vwf","Ependymal","Sample2",0,0
"Angpt2","Ependymal","Sample2",0,0
"Pdgfrb","Ependymal","Sample2",0,0
"Rgs5","Ependymal","Sample2",0,0
"Kcnj8","Ependymal","Sample2",0,0
"Anpep","Ependymal","Sample2",0,0
"Vtn","Ependymal","Sample2",0,0
"Notch3","Ependymal","Sample2",0,0
"Aqp4","Ependymal","Sample2",0.4447,0.2727
"Gja1","Ependymal","Sample2",0,0
"Cldn5","Excitatory neurons","Sample2",0.0017,0.0029
"Ocln","Excitatory neurons","Sample2",0.0271,0.0344
"Tjp1","Excitatory neurons","Sample2",1.5482,0.9358
"Jam2","Excitatory neurons","Sample2",0.0414,0.0555
"Cgn","Excitatory neurons","Sample2",0.0199,0.0286
"Esam","Excitatory neurons","Sample2",0.0108,0.0166
"Mfsd2a","Excitatory neurons","Sample2",0.005,0.0058
"Plvap","Excitatory neurons","Sample2",0.0173,0.024
