"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype","direction"
"GO:0043010","camera-type eye development","15/299","327/17758",0.000456672736161686,0.0185673520360475,0.0157621670154421,"Zeb2/Gpm6a/Nfix/Dcx/Miat/Nfib/Fat3/Dlg1/Large1/Dscam/Hcn1/Nectin3/Cc2d2a/Nfia/Gpd2",15,"Excitatory neurons","Up"
"GO:0048638","regulation of developmental growth","16/299","364/17758",0.000474945067194564,0.0188472867743061,0.0159998087690584,"Syt1/Vgll4/Mef2c/Dcx/Slit2/Plxna4/Bcl11a/Dlg1/Dscam/Zfpm2/Sema6d/Trpc5/Cyfip1/Mgll/Wwc2/Slit1",16,"Excitatory neurons","Up"
"GO:0019935","cyclic-nucleotide-mediated signaling","7/299","83/17758",0.00049777271650499,0.0188472867743061,0.0159998087690584,"Adcy2/Epha5/Prkg1/Rapgef2/Adcy8/Crhr1/Pex5l",7,"Excitatory neurons","Up"
"GO:0072073","kidney epithelium development","9/299","136/17758",0.000499103966562629,0.0188472867743061,0.0159998087690584,"Mef2c/Slit2/Ext1/Dlg1/Tshz3/Fmn1/Fat4/Npnt/Bmper",9,"Excitatory neurons","Up"
"GO:0019933","cAMP-mediated signaling","6/299","60/17758",0.000505647459817696,0.0188472867743061,0.0159998087690584,"Adcy2/Epha5/Rapgef2/Adcy8/Crhr1/Pex5l",6,"Excitatory neurons","Up"
"GO:0042596","fear response","6/299","60/17758",0.000505647459817696,0.0188472867743061,0.0159998087690584,"Brinp1/Mef2c/Ext1/Large1/Gabra5/Crhr1",6,"Excitatory neurons","Up"
"GO:0006171","cAMP biosynthetic process","3/299","10/17758",0.000519467094440225,0.0188472867743061,0.0159998087690584,"Adcy2/Adcy1/Adcy8",3,"Excitatory neurons","Up"
"GO:0021957","corticospinal tract morphogenesis","3/299","10/17758",0.000519467094440225,0.0188472867743061,0.0159998087690584,"Zeb2/Slit2/Cdh11",3,"Excitatory neurons","Up"
"GO:0071560","cellular response to transforming growth factor beta stimulus","12/299","229/17758",0.000525945221905294,0.0188472867743061,0.0159998087690584,"Zeb2/Ptprk/Mef2c/Itga8/Fbn1/Pparg/Fbn2/Npnt/Nrep/Sox5/Itgb8/Sinhcaf",12,"Excitatory neurons","Up"
"GO:0071277","cellular response to calcium ion","7/299","84/17758",0.000535331965169081,0.0188472867743061,0.0159998087690584,"Syt1/Mef2c/Cpne8/Asph/Kcnh1/Adcy8/Itpka",7,"Excitatory neurons","Up"
"GO:0098656","monoatomic anion transmembrane transport","7/299","84/17758",0.000535331965169081,0.0188472867743061,0.0159998087690584,"Gabrg2/Prkca/Gabra1/Slc1a2/Gabra5/Ano3/Lrrc8b",7,"Excitatory neurons","Up"
"GO:0006936","muscle contraction","14/299","297/17758",0.000537406696193287,0.0188472867743061,0.0159998087690584,"Ryr2/Cacna2d1/Chrm3/Uty/Dlg1/Tshz3/Prkca/Large1/Dmd/Prkg1/Npnt/Atp1a1/Dock4/Arhgap42",14,"Excitatory neurons","Up"
"GO:0030204","chondroitin sulfate metabolic process","4/299","23/17758",0.000541747949004166,0.0188472867743061,0.0159998087690584,"Arsb/Ext1/Xylt1/Chsy3",4,"Excitatory neurons","Up"
"GO:0050806","positive regulation of synaptic transmission","11/299","198/17758",0.000549135532383158,0.0188472867743061,0.0159998087690584,"Syt1/Grin2a/Clstn2/Tshz3/Large1/Adcy1/Nrgn/Lgi1/Adcy8/Crhr1/Rasgrf2",11,"Excitatory neurons","Up"
"GO:0006820","monoatomic anion transport","9/299","138/17758",0.000555049545780536,0.0188472867743061,0.0159998087690584,"Gabrg2/Prkca/Gabra1/Slc1a2/Gabra5/Ano3/Lrrc8b/Slc26a4/Atp8b1",9,"Excitatory neurons","Up"
"GO:0048675","axon extension","9/299","138/17758",0.000555049545780536,0.0188472867743061,0.0159998087690584,"Dcx/Slit2/Plxna4/Dscam/Sema6d/Trpc5/Cyfip1/Mgll/Slit1",9,"Excitatory neurons","Up"
"GO:0071559","response to transforming growth factor beta","12/299","232/17758",0.000590361723602419,0.0198284535427334,0.0168327393045449,"Zeb2/Ptprk/Mef2c/Itga8/Fbn1/Pparg/Fbn2/Npnt/Nrep/Sox5/Itgb8/Sinhcaf",12,"Excitatory neurons","Up"
"GO:0030516","regulation of axon extension","8/299","112/17758",0.000615468595453889,0.0204494404295969,0.0173599065067469,"Slit2/Plxna4/Dscam/Sema6d/Trpc5/Cyfip1/Mgll/Slit1",8,"Excitatory neurons","Up"
"GO:0043931","ossification involved in bone maturation","4/299","24/17758",0.00064154302509488,0.0210890207185445,0.0179028579903297,"Zbtb16/Ext1/Xylt1/Fat4",4,"Excitatory neurons","Up"
"GO:0010631","epithelial cell migration","14/299","303/17758",0.000654187540119292,0.0211616053051978,0.0179644763824061,"Zeb2/Arsb/Mef2c/Slit2/Prkca/Pparg/Ccbe1/Plekhg5/Enpp2/Map2k5/Fap/Bmper/Mcc/Ptprr",14,"Excitatory neurons","Up"
"GO:0042063","gliogenesis","16/299","376/17758",0.000673730427364916,0.0211616053051978,0.0179644763824061,"Zeb2/Rras2/Nfix/Dab1/Dcx/Miat/Nfib/Trpc4/Large1/Pparg/Dmd/Epm2a/Sun1/Enpp2/Sox5/Nfia",16,"Excitatory neurons","Up"
"GO:0035264","multicellular organism growth","11/299","203/17758",0.0006758440104031,0.0211616053051978,0.0179644763824061,"Nfix/Ext1/Apba2/Dlg1/Large1/Tbl1xr1/Dmd/Rasal2/Slc1a2/Pcdh15/Gpd2",11,"Excitatory neurons","Up"
"GO:0090130","tissue migration","14/299","305/17758",0.000697611458418237,0.0211616053051978,0.0179644763824061,"Zeb2/Arsb/Mef2c/Slit2/Prkca/Pparg/Ccbe1/Plekhg5/Enpp2/Map2k5/Fap/Bmper/Mcc/Ptprr",14,"Excitatory neurons","Up"
"GO:0090132","epithelium migration","14/299","305/17758",0.000697611458418237,0.0211616053051978,0.0179644763824061,"Zeb2/Arsb/Mef2c/Slit2/Prkca/Pparg/Ccbe1/Plekhg5/Enpp2/Map2k5/Fap/Bmper/Mcc/Ptprr",14,"Excitatory neurons","Up"
"GO:0003056","regulation of vascular associated smooth muscle contraction","3/299","11/17758",0.000705386843506595,0.0211616053051978,0.0179644763824061,"Chrm3/Dock4/Arhgap42",3,"Excitatory neurons","Up"
"GO:0050774","negative regulation of dendrite morphogenesis","3/299","11/17758",0.000705386843506595,0.0211616053051978,0.0179644763824061,"Rapgef2/Trpc5/Trpc6",3,"Excitatory neurons","Up"
"GO:0070593","dendrite self-avoidance","3/299","11/17758",0.000705386843506595,0.0211616053051978,0.0179644763824061,"Nrcam/Ext1/Dscam",3,"Excitatory neurons","Up"
"GO:0099545","trans-synaptic signaling by trans-synaptic complex","3/299","11/17758",0.000705386843506595,0.0211616053051978,0.0179644763824061,"Ptprd/Tenm2/Il1rap",3,"Excitatory neurons","Up"
"GO:0050919","negative chemotaxis","5/299","43/17758",0.000745941249535799,0.0221630621256309,0.0188146315166317,"Slit2/Nrg3/Plxna4/Sema6d/Slit1",5,"Excitatory neurons","Up"
"GO:0090278","negative regulation of peptide hormone secretion","6/299","65/17758",0.000777745276640574,0.0228879324268512,0.0194299872620382,"Kalrn/Stxbp5l/Fbn1/Pparg/Vsnl1/Kcnj6",6,"Excitatory neurons","Up"
"GO:0060291","long-term synaptic potentiation","8/299","117/17758",0.000821251609764298,0.0239402591902989,0.0203233268275336,"Grin2a/Tshz3/Large1/Adcy1/Nrgn/Adcy8/Crhr1/Rasgrf2",8,"Excitatory neurons","Up"
"GO:0070977","bone maturation","4/299","26/17758",0.000879025214454078,0.0253533431013515,0.0215229197780848,"Zbtb16/Ext1/Xylt1/Fat4",4,"Excitatory neurons","Up"
"GO:1903522","regulation of blood circulation","12/299","243/17758",0.000886136263736559,0.0253533431013515,0.0215229197780848,"Ryr2/Cacna2d1/Asic2/Chrm3/Dlg1/Prkca/Dmd/Atp1a1/Mgll/Dock4/Arhgap42/Faah",12,"Excitatory neurons","Up"
"GO:0002792","negative regulation of peptide secretion","6/299","67/17758",0.000913701096477865,0.0259021686983175,0.0219888279326204,"Kalrn/Stxbp5l/Fbn1/Pparg/Vsnl1/Kcnj6",6,"Excitatory neurons","Up"
"GO:0008361","regulation of cell size","11/299","211/17758",0.00092868937462089,0.0260877287961686,0.0221463533163183,"Dcx/Slit2/Plxna4/Bcl11a/Prr16/Dscam/Sema6d/Trpc5/Cyfip1/Mgll/Slit1",11,"Excitatory neurons","Up"
"GO:0048736","appendage development","10/299","180/17758",0.000972212196188387,0.0267850468932844,0.0227383194883545,"Zbtb16/Ext1/Large1/Dmd/Asph/Fmn1/Fbn2/Plxna2/Pcsk5/Nfia",10,"Excitatory neurons","Up"
"GO:0060173","limb development","10/299","180/17758",0.000972212196188387,0.0267850468932844,0.0227383194883545,"Zbtb16/Ext1/Large1/Dmd/Asph/Fmn1/Fbn2/Plxna2/Pcsk5/Nfia",10,"Excitatory neurons","Up"
