"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Clu","Microglia",84,113,0.0282546241584572,0.0370760001913294,0.195108082611455,0.278427802860321,0.0212880370777307,0.0261922844488898,0.00882137603287222,4719,0.784018055587576,0.99460478023998,"ns"
"Jun","Microglia",84,113,0.0235833508198403,0.0187556108731645,0.216144980545234,0.19937487838865,0.0235833508198403,0.0187556108731645,-0.00482773994667581,4732,0.844249840794544,0.99460478023998,"ns"
"Ccl5","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Gfap","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Vim","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"S100b","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Ptgs2","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Arg1","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Egr1","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Ifit3","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Isg15","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Sox9","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
"Aqp4","Microglia",84,113,0,0,0,0,0,0,0,4746,NA,NA,""
