"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16"
"Clu",0.1421856395141,0.0878473140727951,0.0898901395280241,0.0665816452763004,0.100596694262004,0.0996014614521647,0.142979469284829,0.085214992133667,1.6702249802156,0.0519333391287672,0.363496443064223,0.0735706832995204,0.115983129726585,0.0362316644808769,0.147142613633858,0.301062684903043,0.403063434400188
"Slc1a3",0.11567342187052,0.0338991163767326,0.124551483162637,0.226199868926349,1.54328085541042,0.112049634616498,0.132575234695937,0.0392236574162338,26.9605787433524,0.947821205944223,4.10745687949657,0.11774037167847,2.59909654404316,0.0664305581051401,2.4247375281892,0.498253135318772,1.67546515988926
"App",7.34999368478156,6.13561517152246,6.22313244345692,5.8584141888477,16.4989488302267,5.01999649756397,7.23717898666792,6.44737166272287,1.99027351437227,4.26281723115151,12.9760147151111,6.19634437311207,4.24035391668714,7.58188552104087,4.30900507421607,6.11193886990428,7.71738898006803
"Aif1",0,0,0.0106627769536732,0,0,0,0,0.0018922127498052,0,0,0,0.00312548445008976,0.609622364075324,0.0132294731494613,0,0,0
"Trem2",0,0.00613097176522673,0.00936598194683385,0.00403473176416392,0.0181317087322309,0.00965315460810539,0,0.00384599588992664,0.00889695546184096,0,0,0,1.28404964434425,0.00753394418552789,0.0190234317131683,0.00872271534639647,0
"Aqp4",0.0128237310615854,0.00925741204686717,0.00789639778159776,0.019006252714213,0.0100075356743628,0,0.00691740638355865,0.0120040580953468,1.7965299997248,0,0.259198749375135,0.00587328734940891,0,0.00489563725286211,0.0470305458523277,0.237146651489281,0.334215840072563
"Egr1",0.139914173247835,0.402811393756476,0.187242080809895,0.160212523767714,0.0577878142744056,0.439685908129478,0.17465036462544,0.235001345028807,0.039349836922856,0.0186231373126386,1.38076257443994,0.145634158741969,0,0.248163199949947,0.312589897920774,0.333373658309309,0.505787996553466
"Camk2a",2.7945712440429,9.40140892794237,6.78429541079834,5.00382091907425,0.508494575704232,4.34009310920111,2.73108512733397,6.42229536422531,0.416895762916153,10.9737571924393,0.688414873688186,10.6364720190182,0.709502620562251,4.03456806154913,0.300368292924614,3.56983819226787,0.49886889090787
"Ifit3",0.00624620161662707,0,0.00149693450267869,0,0,0,0,0.0040390234287593,0.0660907930292854,0,0.151188840957505,0,0,0,0,0,0.156860284544556
"Syp",0.930799480811092,0.872797662505326,0.800422182111764,0.432336922975677,0.28180441755153,0.781498140572511,0.774419403058122,0.790304068755705,0.134384034386882,0.877494317551265,0.301866664576351,0.705834914326533,0.361488388093648,0.957475994308534,0.428011034541482,0.800579459983967,0
"Syn1",1.36547662026278,1.96252925307699,1.60489512365757,1.00196204764427,0.432723221799851,1.45834040550728,1.22849596926592,1.65288799033772,0.0941880567045422,1.19977077748911,0.255835883533434,1.45647356644789,0.379705357978396,1.57801665101462,0.544268638952229,1.40551829261774,0
"Dcx",1.48687025295928,2.3512843886871,1.55051314662906,0.657333920798975,0.23933618784325,1.62437299789665,1.55267580490849,1.20634591228832,0.178521518308601,0.371356884064886,0.184850513793247,0.503771321508988,0.154046388560932,0.514132414654339,0.738468641864476,1.69947553243732,0.0677029735145967
