"gene","cluster","mean_logexpr"
"Rbfox3","g7",4.631936923311
"Rbfox3","g8",4.44062250788592
"Rbfox3","g9",0.0822909809084924
"Rbfox3","g10",0.400148117971837
"Rbfox3","g11",0.240056215469132
"Rbfox3","g12",0.164590052039315
"Rbfox3","g13",2.5370405566205
"Rbfox3","g14",0.037312875927225
"Rbfox3","g15",3.9871393767608
"Rbfox3","g16",0.790944365857159
"Fos","g0",0.0628007162280544
"Fos","g1",0.0905004322313913
"Fos","g2",0.0379979057105953
"Fos","g3",0
"Fos","g4",0.0456318331453775
"Fos","g5",0.0409672938046908
"Fos","g6",0.0429309718623369
"Fos","g7",0.0348911502353671
"Fos","g8",0.0912523813441395
"Fos","g9",0.0842318059299191
"Fos","g10",0
"Fos","g11",0.0104859174129145
"Fos","g12",0
"Fos","g13",0
"Fos","g14",0.0691218756912188
"Fos","g15",0
"Fos","g16",0
"App","g0",6.67339794001832
"App","g1",5.94604152050044
"App","g2",5.87021756094947
"App","g3",15.0670029887958
"App","g4",6.79732873602154
"App","g5",6.98599311739195
"App","g6",1.96156317016708
"App","g7",5.67420842116597
"App","g8",5.26935279791678
"App","g9",8.38252356295144
"App","g10",4.07083203470499
"App","g11",3.77111606826563
"App","g12",17.351828855537
"App","g13",7.49027007561323
"App","g14",9.25183572057832
"App","g15",5.8702051598057
"App","g16",2.74124792524449
"Aif1","g0",0.00300035201598556
"Aif1","g1",0.00373033729323208
"Aif1","g2",0.00283523861368173
"Aif1","g3",0
"Aif1","g4",0
"Aif1","g5",0.00582575791909898
"Aif1","g6",0.0132265684726223
"Aif1","g7",0
"Aif1","g8",0.00406711884894029
"Aif1","g9",0
"Aif1","g10",0.364669200250149
"Aif1","g11",0
"Aif1","g12",0
"Aif1","g13",0
"Aif1","g14",0
"Aif1","g15",0
"Aif1","g16",0
"Trem2","g0",0.00311953350057985
"Trem2","g1",0.000846880313115364
"Trem2","g2",0
"Trem2","g3",0
"Trem2","g4",0.00320390135989276
"Trem2","g5",0.000570834903129317
"Trem2","g6",0
"Trem2","g7",0.00412876972158467
"Trem2","g8",0
"Trem2","g9",0.0488701227617484
"Trem2","g10",1.82695792974039
"Trem2","g11",0
"Trem2","g12",0
"Trem2","g13",0
"Trem2","g14",0
"Trem2","g15",0
"Trem2","g16",0.160929528959269
"C3","g0",0.00320953576019646
"C3","g1",0
"C3","g2",0
"C3","g3",0
"C3","g4",0
"C3","g5",0
"C3","g6",0
"C3","g7",0
"C3","g8",0
"C3","g9",0.0484195847536412
"C3","g10",0.0392333797594994
"C3","g11",0.0442012394027529
"C3","g12",0
"C3","g13",0
"C3","g14",0
"C3","g15",0
"C3","g16",0
"Egr1","g0",0.093914203005691
"Egr1","g1",0.463090416188841
"Egr1","g2",0.260828060001799
"Egr1","g3",0.0443550141708774
"Egr1","g4",0.104565353186689
"Egr1","g5",0.212612705351311
"Egr1","g6",0.0275354656797956
"Egr1","g7",0.0830917325866581
"Egr1","g8",0.674300810815608
"Egr1","g9",0.0708616780045351
"Egr1","g10",0.0082897431008613
"Egr1","g11",0.0490780754863939
"Egr1","g12",0.346898743930007
"Egr1","g13",0.318714941356451
"Egr1","g14",0.0621643127113587
"Egr1","g15",0.0881370776949386
"Egr1","g16",0.227842333105491
"Camk2a","g0",2.24836462124844
"Camk2a","g1",8.00450321365836
"Camk2a","g2",5.45629689286903
"Camk2a","g3",0.267551248747982
"Camk2a","g4",4.0948355346959
"Camk2a","g5",4.98964134474001
"Camk2a","g6",0.301156816232377
"Camk2a","g7",11.1552844618903
"Camk2a","g8",5.11601014623637
"Camk2a","g9",0.464652376741142
"Camk2a","g10",0.80404020232578
"Camk2a","g11",0.210686466455536
"Camk2a","g12",0.421971761410457
"Camk2a","g13",3.88999589362268
"Camk2a","g14",0.0488548424919878
"Camk2a","g15",0.436719477494628
"Camk2a","g16",0.668052193200556
"Ifit3","g0",0.00620633622673363
"Ifit3","g1",0.00231308856538546
"Ifit3","g2",0.00575218439202287
"Ifit3","g3",0
"Ifit3","g4",0.00205217953779992
"Ifit3","g5",0
"Ifit3","g6",0.0576720424936402
"Ifit3","g7",0.00238304435345981
"Ifit3","g8",0
"Ifit3","g9",0.258235585494288
"Ifit3","g10",0
"Ifit3","g11",0.0656647484688648
"Ifit3","g12",0.195086846879949
"Ifit3","g13",0
"Ifit3","g14",0
"Ifit3","g15",0
"Ifit3","g16",0
"Syp","g0",0.896707106253432
"Syp","g1",0.926837571054847
"Syp","g2",0.44759483793463
"Syp","g3",0.310175287570877
"Syp","g4",0.834125119952897
"Syp","g5",0.823235998275848
"Syp","g6",0.156118576064303
"Syp","g7",0.914488305633028
"Syp","g8",0.842089649888077
"Syp","g9",0.399613814323445
"Syp","g10",0.599597943371285
"Syp","g11",0.267708374521837
"Syp","g12",0.72850984771185
"Syp","g13",2.03005868367849
"Syp","g14",0.0186564379636125
