"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
0.471521492872462,-0.770032485190219,0.148,0.205,1,"Anp32a","Choroid plexus"
0.474266050612601,-0.78348332968905,0.296,0.318,1,"Usp24","Choroid plexus"
0.474767300126232,-1.00595561260154,0.111,0.159,1,"Eif2d","Choroid plexus"
0.474976683734289,-0.593333832246686,0.222,0.295,1,"Plekha6","Choroid plexus"
0.474976683734289,-0.82399321853618,0.222,0.295,1,"Gmcl1","Choroid plexus"
0.474976683734289,-0.607384154007003,0.222,0.295,1,"Prpf40b","Choroid plexus"
0.476218999523921,0.357108880267882,0.37,0.295,1,"Myo18a","Choroid plexus"
0.476351315504235,0.450437106119964,0.296,0.205,1,"Pcgf5","Choroid plexus"
0.476417139662508,0.541068504514252,0.333,0.273,1,"G3bp1","Choroid plexus"
0.476417139662508,0.816634359287951,0.333,0.273,1,"Micu2","Choroid plexus"
0.476417139662508,-0.661172850655355,0.259,0.318,1,"Scfd2","Choroid plexus"
0.476936842712003,-0.354875683104195,0.444,0.523,1,"Hdlbp","Choroid plexus"
0.478238145391996,0.4581760709894,0.333,0.25,1,"Mapk10","Choroid plexus"
0.478238145391996,0.504454850605699,0.333,0.25,1,"Arl4a","Choroid plexus"
0.479224387598922,-0.506272468373601,0.148,0.227,1,"Nubpl","Choroid plexus"
0.47977629126214,0.305619684249057,0.63,0.682,1,"Pikfyve","Choroid plexus"
0.479877060865202,0.370680689704227,0.407,0.341,1,"Nr1d2","Choroid plexus"
0.479882000207993,-0.648879792606093,0.333,0.386,1,"Phf20","Choroid plexus"
0.480596497233314,-0.591165931391754,0.111,0.182,1,"Ubac1","Choroid plexus"
0.480596497233314,1.08721044999573,0.111,0.182,1,"Capza2","Choroid plexus"
0.480596497233314,-0.344622011530479,0.111,0.182,1,"Syn2","Choroid plexus"
0.480596497233314,-0.391562280316905,0.111,0.182,1,"Cnep1r1","Choroid plexus"
0.480596497233314,-0.357795924115699,0.111,0.182,1,"Setd4","Choroid plexus"
0.480596497233314,-0.68443535319763,0.111,0.182,1,"Utp14a","Choroid plexus"
0.480596497233314,1.01297347344565,0.185,0.136,1,"Pex5l","Choroid plexus"
0.480596497233314,0.902009081103297,0.185,0.136,1,"2900052L18Rik","Choroid plexus"
0.480709870687269,0.273770071036378,0.296,0.227,1,"Cog7","Choroid plexus"
0.480716168618532,-0.773331689678627,0.222,0.273,1,"Rin2","Choroid plexus"
0.480795195419127,-0.383156794768355,0.333,0.432,1,"Ppp2r2c","Choroid plexus"
0.481254142919079,-0.43570288139515,0.185,0.25,1,"Alkbh8","Choroid plexus"
0.481261011902838,-0.584234776411175,0.185,0.25,1,"Tango6","Choroid plexus"
0.481261011902838,0.617904816760261,0.259,0.205,1,"Ppp1r12c","Choroid plexus"
0.481261011902838,0.706320834628888,0.259,0.205,1,"Mbtps2","Choroid plexus"
0.482098347404698,-0.547558966268237,0.556,0.636,1,"Zmym2","Choroid plexus"
0.482401955376769,0.998017435170201,0.222,0.159,1,"Dmd","Choroid plexus"
0.482401955376769,-0.941778282944849,0.148,0.205,1,"Tram2","Choroid plexus"
0.483198463981784,-0.596671768811174,0.074,0.136,1,"Pom121","Choroid plexus"
0.483198463981784,-0.411627542879001,0.074,0.136,1,"Ldha","Choroid plexus"
0.483198463981784,-0.787296359970828,0.074,0.136,1,"Echs1","Choroid plexus"
0.483198463981784,-0.384763504028178,0.074,0.136,1,"Cx3cl1","Choroid plexus"
0.483198463981784,-0.46699161535587,0.074,0.136,1,"Rnf123","Choroid plexus"
0.483198463981784,-0.26263658076214,0.074,0.136,1,"Tap2","Choroid plexus"
0.483198463981784,0.375839909637081,0.148,0.091,1,"Lrrc51","Choroid plexus"
0.483198463981784,0.407060820862401,0.148,0.091,1,"Ints10","Choroid plexus"
0.483198463981784,0.475415809427081,0.148,0.091,1,"Bcl9l","Choroid plexus"
0.483198463981784,0.611399672401024,0.148,0.091,1,"Loxl1","Choroid plexus"
0.483198463981784,0.656343785806908,0.148,0.091,1,"Rassf1","Choroid plexus"
0.483198463981784,0.360869003633642,0.148,0.091,1,"H2afv","Choroid plexus"
0.483198463981784,0.292362718908715,0.148,0.091,1,"Kdm6b","Choroid plexus"
0.483198463981784,0.676030423531692,0.148,0.091,1,"Pld2","Choroid plexus"
0.483198463981784,0.428189182018695,0.148,0.091,1,"A330102I10Rik","Choroid plexus"
0.483198463981784,0.493193577469053,0.148,0.091,1,"Pex6","Choroid plexus"
