"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prrc2a2",0.000152904939722344,0.733263749194738,0.066,0.184,1,"10","Prrc2a"
"Aftph",0.000153289386257649,0.75651336291443,0.234,0.473,1,"10","Aftph"
"Zfp3463",0.000153601761035314,0.766032424297044,0.132,0.293,1,"10","Zfp346"
"Gabpb12",0.000153829013342215,0.828873451707074,0.086,0.218,1,"10","Gabpb1"
"Actr62",0.000154636295185786,0.388741630147549,0.03,0.124,1,"10","Actr6"
"Rbm342",0.000154803887610068,0.137198951583887,0.03,0.124,1,"10","Rbm34"
"Ldlrad31",0.000155316394589847,2.27379487981637,0.33,0.287,1,"10","Ldlrad3"
"Ibtk3",0.000156972598555311,0.544490285655475,0.107,0.249,1,"10","Ibtk"
"Zfp369",0.000158582547402014,0.664489725254023,0.076,0.2,1,"10","Zfp369"
"Rbbp52",0.000158771892843041,0.892781768844077,0.076,0.2,1,"10","Rbbp5"
"Ric1",0.000158778110177741,1.07294417615802,0.213,0.443,1,"10","Ric1"
"Mrpl382",0.000159728249363485,0.419190581042232,0.02,0.106,1,"10","Mrpl38"
"Mrpl422",0.000160083162808315,0.157239558055492,0.02,0.106,1,"10","Mrpl42"
"Spns22",0.000161004226963504,0.459499167364867,0.066,0.182,1,"10","Spns2"
"Qrsl12",0.000161235166195934,0.438952023861261,0.02,0.106,1,"10","Qrsl1"
"Slc44a23",0.000161457980089175,0.591823066126312,0.056,0.166,1,"10","Slc44a2"
"Dap31",0.000161459645009301,0.791675321449358,0.096,0.233,1,"10","Dap3"
"Tmem106b1",0.000161784102166935,0.374060020883299,0.071,0.191,1,"10","Tmem106b"
"Aars3",0.000162102498838155,0.855800753011385,0.046,0.15,1,"10","Aars"
"Herc42",0.000163133731896553,0.850551062600964,0.254,0.514,1,"10","Herc4"
"Cflar1",0.000164389771595533,2.2496573776227,0.127,0.064,1,"10","Cflar"
"Bbip11",0.000165668266643503,1.00273176363543,0.096,0.233,1,"10","Bbip1"
"Slc11a21",0.000166656209301569,0.860191275690687,0.051,0.158,1,"10","Slc11a2"
"Rbm412",0.000166715278420473,0.58527280071098,0.066,0.183,1,"10","Rbm41"
"Nt5c23",0.000166767388111099,0.746541509451975,0.32,0.645,1,"10","Nt5c2"
"Plpp12",0.000167095905039002,1.2947932272156,0.061,0.174,1,"10","Plpp1"
"Syap11",0.000168262458798054,0.745501236093043,0.061,0.174,1,"10","Syap1"
"Klc11",0.000168326509634614,0.74625997424209,0.259,0.522,1,"10","Klc1"
"Il13ra11",0.000168579377192767,3.3995655434334,0.056,0.018,1,"10","Il13ra1"
"Rnf101",0.000168644533259008,0.951766482728643,0.137,0.304,1,"10","Rnf10"
"Slc33a12",0.000170046316432251,0.386814104890477,0.071,0.191,1,"10","Slc33a1"
"Tox43",0.000170066783652764,0.660433397230933,0.076,0.199,1,"10","Tox4"
"Cab39l1",0.000170617934247423,0.703289271194176,0.137,0.298,1,"10","Cab39l"
"Hibadh4",0.00017074576803955,0.633140912601058,0.173,0.36,1,"10","Hibadh"
"Hnrnpc2",0.00017107120753929,0.776119751994636,0.213,0.444,1,"10","Hnrnpc"
"Mex3c2",0.000171200428502411,0.382858179377048,0.046,0.148,1,"10","Mex3c"
"Gnb11",0.000171937004922917,0.662481740864994,0.305,0.624,1,"10","Gnb1"
"Apaf12",0.000172836112334286,0.720055635481764,0.051,0.157,1,"10","Apaf1"
"Foxo14",0.0001738201397241,1.78562195308555,0.305,0.24,1,"10","Foxo1"
"Nelfa2",0.000173905580642316,0.53338459256101,0.036,0.131,1,"10","Nelfa"
"Eloc2",0.000174325569754474,0.662797030268752,0.041,0.14,1,"10","Eloc"
"Dctn53",0.000176620102871018,0.142612348161922,0.03,0.123,1,"10","Dctn5"
"Cops42",0.000177813787793051,0.526047068995169,0.071,0.19,1,"10","Cops4"
"Tceal53",0.000178215502524803,0.500219142725275,0.025,0.114,1,"10","Tceal5"
"Mllt112",0.000178917268389638,0.389853110441606,0.03,0.123,1,"10","Mllt11"
"Ahdc1",0.000179402987306118,0.886127469989689,0.096,0.234,1,"10","Ahdc1"
"Arf41",0.000179470553570206,0.728013203969845,0.091,0.224,1,"10","Arf4"
"Ppid2",0.000179804591999338,0.61891503012089,0.076,0.199,1,"10","Ppid"
"Fam214a2",0.000180248964784417,0.865501356039915,0.218,0.445,1,"10","Fam214a"
"Trappc92",0.000180405493587196,0.709548162881765,0.31,0.631,1,"10","Trappc9"
"Ahr3",0.000180439545932304,0.430423014247113,0.02,0.105,1,"10","Ahr"
"Neurl41",0.000180455408958763,0.287802957887667,0.025,0.113,1,"10","Neurl4"
"6720427I07Rik1",0.000180896258899436,1.02376656941599,0.081,0.208,1,"10","6720427I07Rik"
"Ybx33",0.000180907734211067,0.823964599218191,0.096,0.233,1,"10","Ybx3"
"Rb1cc12",0.000182248352343466,0.604889457463076,0.335,0.672,1,"10","Rb1cc1"
"Atp13a33",0.000182755478731395,0.844712078092,0.208,0.43,1,"10","Atp13a3"
"Hnrnpul12",0.000182842519818351,0.835691854271207,0.132,0.293,1,"10","Hnrnpul1"
"Nprl3",0.000183497440619009,0.894164214302222,0.096,0.232,1,"10","Nprl3"
"Hmgb14",0.000183919903420876,0.880616003416664,0.117,0.267,1,"10","Hmgb1"
"Cep633",0.000185370093703252,0.750474528298543,0.086,0.214,1,"10","Cep63"
"Gpatch81",0.000186325573544124,0.210866523621913,0.421,0.806,1,"10","Gpatch8"
"Mcf2l5",0.000186881577137636,1.31661447503269,0.208,0.433,1,"10","Mcf2l"
"Rab141",0.000186973218874531,0.734840489305215,0.218,0.449,1,"10","Rab14"
"Mbd13",0.000187509014869238,0.719443223138793,0.051,0.156,1,"10","Mbd1"
"Jmy2",0.000187900874323509,0.959718992338086,0.157,0.334,1,"10","Jmy"
"Nfs13",0.000189523767387406,0.998566337090436,0.086,0.216,1,"10","Nfs1"
"Pelp12",0.000191631439628339,0.108191922036111,0.025,0.113,1,"10","Pelp1"
"F730043M19Rik3",0.000191729268471099,0.971805066568499,0.051,0.157,1,"10","F730043M19Rik"
"Zfp740",0.000192206087151316,0.50204909957343,0.086,0.214,1,"10","Zfp740"
"Hip11",0.000194500105458328,2.19443276725739,0.381,0.369,1,"10","Hip1"
"Srek1ip12",0.000196032735557511,0.684779514764721,0.041,0.139,1,"10","Srek1ip1"
"Neurl2",0.000197976796454858,4.591000802711,0.025,0.005,1,"10","Neurl2"
"Crip2",0.000198261600493612,3.62768696029525,0.086,0.037,1,"10","Crip2"
"Zbtb174",0.000198725719316229,0.54533295330032,0.025,0.113,1,"10","Zbtb17"
"Commd33",0.000199202799584834,0.143355454860738,0.036,0.13,1,"10","Commd3"
"Kansl22",0.000199912016349294,0.682042073423437,0.076,0.197,1,"10","Kansl2"
"Ik2",0.000200857564159277,0.515864146978136,0.076,0.197,1,"10","Ik"
"Purb2",0.000201132663408619,0.686964784913262,0.076,0.197,1,"10","Purb"
"Slc25a462",0.00020220709802362,1.18123657603087,0.102,0.241,1,"10","Slc25a46"
"Irak31",0.000204064664883649,2.99836252620221,0.046,0.013,1,"10","Irak3"
